,label,text
12,신록,"신록 [{'lCategory': 'Sport', 'mCategory': '역도', 'sCategory': '고양시청', 'type': 1}] 고양시청 [{'content': '\n\n\n\n\n\n\n하남직 기자\n기자 페이지\n\n\n\n\n인상은 학생 신기록, 합계는 한국주니어 신기록 달성\n\n\n\n\n\n\n\n한국 역도 유망주 신록\n[사진공동취재단=연합뉴스 자료사진] photo@yna.co.kr\n\n\n\n (서울=연합뉴스) 하남직 기자 = 한국 역도 경량급 유망주 신록(18·고흥고)이 남자 역도 61㎏급 용상에서 한국 신기록을 세웠다. \n 신록은 17일 경남 고성 역도전용경기장에서 열린 2020 전국남녀역도선수권대회 남자 고등부 61㎏급 결선에서 인상 127㎏, 용상 163㎏, 합계 290㎏을 들어 우승했다. \n 또래 중에는 신록의 경쟁 상대가 없었다. \n\n광고\n\n\n \n 이날 2위를 차지한 정현목(전남체고)의 합계 기록은 242㎏(인상 105㎏, 용상 137㎏)이었다.\n\n\n\n\n\n 신록은 순위가 아닌 기록과 싸웠다. \n 용상 3차 시기에서 신록은 한국 기록인 163㎏을 들었다. \n 국제역도연맹은 2018년 11월 열린 세계역도선수권대회부터 새로운 체급 체계를 만들었고, 세계기준기록을 발표했다. \n 대한역도연맹도 한국기준기록표를 만들었고, 한국 남자 61㎏급 용상 한국기록은 162㎏으로 정했다. \n 같은 체급 실업팀 선배들도 아직 실전에서는 들지 못한 용상 163㎏을 고교생인 신록이 들었다. \n 신록은 인상에서는 자신이 보유한 한국 학생기록(종전 125㎏)을 2㎏ 경신했고, 합계에서는 자신이 지난달 7일 실업선수권에서 달성한 한국 주니어기록(종전 283㎏)을 7㎏이나 넘어선 신기록을 작성했다. \n jiks79@yna.co.kr\n\n<저작권자(c) 연합뉴스,\n무단 전재-재배포 금지>\n2020/09/17 18:45 송고\n\n', 'image': 'https://firebasestorage.googleapis.com/v0/b/supportapp-f34a1.appspot.com/o/%EC%8B%A0%EB%A1%9D%EB%89%B4%EC%8A%A4.jpg?alt=media&token=8e728a49-a0e0-49c5-9252-3fe9bd3f097f', 'time': 1600368300000, 'title': ""'고교 역사' 신록, 역도 남자 61㎏급 용상 한국 신기록""}] 2020년 전국 남자역도선수권대회 합계 1위"
13,안진,"안진 [{'lCategory': 'Sport', 'mCategory': '야구', 'sCategory': '한화이글스', 'type': 1}] 한화이글스  "
14,안창호,"안창호 [{'lCategory': 'Sport', 'mCategory': '야구', 'sCategory': '한화이글스', 'type': 1}] 한화이글스  "
15,원정식,"원정식 [{'lCategory': 'Sport', 'mCategory': '역도', 'sCategory': '울산광역시청', 'type': 1}] 울산광역시청 [{'content': ""\n\n\n\n\n\n\n하남직 기자\n기자 페이지\n\n\n\n\n타슈켄트에서 개막…도쿄올림픽 랭킹 포인트 걸린 중요한 대회\n\n\n\n\n\n\n\n한국 여자역도 대표 김수현\n[연합뉴스 자료사진]\n\n\n\n (서울=연합뉴스) 하남직 기자 = 한국 역도 대표팀이 1년 4개월 만에 '성인 국제대회'에 출전한다. \n 지난해 신종 코로나바이러스 감염증(코로나19) 여파로 열리지 못한 아시아역도선수권대회가 17일 우즈베키스탄 타슈켄트에서 개막한다. \n 전상석 감독이 이끄는 한국 대표팀은 14일 출국했다. 여자 대표선수 8명, 남자 선수 7명 등 총 15명의 선수가 타슈켄트행 비행기에 올랐다. \n\n광고\n\n\n \n 한국 역도 성인 대표팀이 국제대회에 참가하는 건, 2019년 12월 중국 톈진에서 열린 국제역도연맹(IWF) 월드컵 이후 1년 4개월 만이다. \n\n\n\n\n\n 주니어대회를 포함해도 지난해 2월 타슈켄트에서 치른 아시아주니어 역도선수권대회 이후 1년 2개월 만에 '한국 역도 대표팀'을 꾸렸다. \n 2020년에 예정됐던 주요 역도 국제대회가 모두 코로나19로 취소 혹은 연기되면서 한국 역도 선수들은 국내에서 훈련했다. 실내 체육 시설 이용이 어려운 상황에서도, 긴 시간을 잘 버텼다. \n 이번 대회는 도쿄올림픽 랭킹 포인트가 걸린 중요한 대회여서 긴장감이 더 크다. \n\n\n\n\n\n\n한국 남자역도 대표팀 진윤성\n[대한역도연맹 제공. 재판매 및 DB금지]\n\n\n\n 그동안 국가별 랭킹 포인트에 따라 출전권을 부여했던 역도 종목은 도쿄올림픽부터 '개인 성적 중심의 쿼터 분배'를 도입했다. \n 도쿄올림픽에 남녀 7개, 총 14개의 금메달이 걸려 있다. \n 국가별 출전권은 남녀 4개 체급 이하로 제한하고, 동일 체급에는 국가별 1명씩만 출전권을 부여하기로 했다. \n 체급별로 도쿄올림픽 출전 포인트 상위 8위에 오르면 '우선권'을 얻는다. \n 여자 76㎏급 김수현(인천광역시청), 여자 87㎏이상급의 이선미(강원도청), 손영희(부산체육회), 남자 109㎏급 진윤성(고양시청)과 서희엽(경북개발공사) 등 도쿄올림픽 출전권 확보를 노리는 선수들이 이번 아시아선수권대회에서 랭킹 포인트 획득을 노린다. \n 같은 체급에서 복수의 동일 국가 선수가 상위권에 올라도, 올림픽 출전권은 체급별 한 장만 부여하기 때문에 같은 체급 선수들은 선의의 경쟁을 펼쳐야 한다. \n ◇ 아시아역도선수권 한국 대표팀 명단\n\n\n직위/체급\n이름\n소속\n\n\n감독\n전상석\n대한역도연맹\n\n\n코치\n김동현\n대한역도연맹\n\n\n이세원\n대한역도연맹\n\n\n원진희\n대한역도연맹\n\n\n남자 67㎏급\n한명목\n경남도청\n\n\n 73㎏급\n원정식\n울산광역시청\n\n\n 89㎏급\n유동주\n진안군청\n\n\n 96㎏급\n장연학\n국군체육부대\n\n\n 109㎏급\n진윤성\n고양시청\n\n\n서희엽\n경북개발공사\n\n\n109㎏이상급\n함상일\n인천광역시청\n\n\n여자 55㎏급\n함은지\n원주시청\n\n\n 64㎏급\n김예라\n제주특별자치도청\n\n\n한소진\n대전광역시청\n\n\n 76㎏급\n김수현\n인천광역시청\n\n\n강윤희\n경남도청\n\n\n 81㎏급\n장현주\n공주시청\n\n\n 87㎏이상급\n이선미\n강원도청\n\n\n손영희\n부산체육회\n\n\n jiks79@yna.co.kr\n\n<저작권자(c) 연합뉴스,\n무단 전재-재배포 금지>\n2021/04/15 10:14 송고\n\n"", 'image': 'https://firebasestorage.googleapis.com/v0/b/supportapp-f34a1.appspot.com/o/%EC%9B%90%EC%A0%95%EC%8B%9D%EB%89%B4%EC%8A%A4.jpg?alt=media&token=2dae8b82-1cac-45fc-bb8f-0ecb5bc149c7', 'time': 1618481640000, 'title': '아시아역도선수권, 17일 개막…한국, 16개월만에 국제대회 출전'}] 2017년 세계역도선수권대회 합계 1위"
16,유정,"유정 [{'lCategory': 'Music', 'mCategory': 'K-pop', 'sCategory': '라붐', 'type': 1}] 라붐  "
17,육중완,"육중완 [{'lCategory': 'Music', 'mCategory': '록 음악', 'sCategory': '육중완밴드', 'type': 1}] 육중완밴드 [{'content': '\n\n\n\n\n\n\n오보람 기자\n기자 페이지\n\n\n\n\n공연 기획 해리빅버튼 이성수 ""뮤지션에게 무대는 삶이자 생계""\n\n\n\n\n\n\n\n온라인 페스티벌 \'#우리의무대를지켜주세요\' 타임테이블\n[코드 제공. 재판매 및 DB 금지]\n\n\n\n (서울=연합뉴스) 오보람 기자 = 신종 코로나바이러스 감염증(코로나19) 장기화로 위기에 처한 인디 공연장을 살리기 위해 아티스트들이 릴레이 온라인 공연에 나선다.\n 8일 사단법인 코드에 따르면 이날부터 일주일간 프리젠티드 라이브를 통해 \'#우리의무대를지켜주세요\' 캠페인 일환으로 온라인 페스티벌이 중계된다.\n 총 67팀이 롤링홀, 웨스트브릿지, 프리즘홀, 라디오가가, 드림홀 등 5개의 홍대 인디 라이브 공연장에서 무대를 선보인다.\n\n광고\n\n\n \n 앞서 1차 라인업에는 해리빅버튼, 크라잉넛, 노브레인, 가리온, 육중완밴드, 내귀에도청장치 등 12팀이 이름을 올렸으나 여러 가수가 참여 의사를 밝히면서 출연진이 크게 늘었다.\n 이정선, 잔나비, 다이나믹듀오, DJ DOC, 불고기디스코, 브로콜리너마저, 까데호, 카더가든, 소란, 솔루션스, 딕펑스, 조문근밴드, 최고은, 406호프로젝트 등 홍대를 음악적 고향으로 삼아 몸집을 키운 아티스트들이 라인업에 추가됐다.\n\n\n\n\n\n\n해리빅버튼 이성수\n[해리빅버튼 제공. 재판매 및 DB 금지]\n\n\n\n\n\n\n\n\n 지난해부터 코로나19로 대중음악 공연이 줄줄이 취소되면서 브이홀, 무브홀, 에반스라운지, 퀸라이브홀 등 길게는 수십 년간 홍대 인디음악신을 지킨 공연장이 줄줄이 문을 닫았다. \n 하드록밴드 해리빅버튼의 보컬 이성수는 폐업 위기에 처한 남은 공연장을 도울 방법이 없을지 고민하다가 코드 이사장인 윤종수 변호사와 함께 온라인 공연을 추진하기로 했다.\n 이성수는 지난 5일 연합뉴스와 통화에서 ""한 달 만에 67팀이 뜻을 모아 무대에 서기로 했다""며 ""라이브 공연장이 조금이나마 숨통이 틔었으면 하는 바람""이라고 말했다.\n 무보수로 이번 공연을 주관하는 코드는 티켓 판매와 후원으로 얻은 이익을 5개 공연장 대관료를 지급하는 데 사용할 예정이다. 현장 인력 및 참여 아티스트의 실비 등을 제하고 남은 금액으로는 인디음악 생태계를 위한 기금을 조성한다.\n 이성수는 ""라이브 공연장은 단순히 \'유흥\'을 위한 곳이 아니라 종사자에게는 삶이자 생계가 달린 곳""이라면서 ""궁극적으로 라이브 공연장을 지원하는 현실적인 정책을 끌어내는 게 목표"" 강조했다.\n\n\n\n\n\n\n크라잉넛 한경록\n[연합뉴스 자료사진]\n\n\n\n 김천성 롤링홀 대표는 연합뉴스에 ""정부에서도 하지 못한 걸 뮤지션들이 앞장서서 도와주는 것에 대해서 감사하게 생각한다""며 ""공연장이 너무 힘든 상황이었는데, 어떻게든 더 버텨보고 열심히 해야겠다는 새로운 마음을 갖게 됐다""고 했다.\n 뮤지션, 레이블, 공연기획사, 공연장 등 업계 관계자들은 이번 공연에 지지 의사를 밝히고 음악 팬들에게도 동참을 당부했다.\n 크라잉넛의 \'캡틴락\' 한경록은 소셜미디어에 공연 포스터를 게재하고 ""한 번도 겪어보지 못한 어려운 시기를 지나고 있지만, 전국의 라이브 공연장 운영자 여러분들 힘내시고 함께 우리의 무대를 지켜나가자""고 썼다.\n 잔나비 최정훈은 ""코로나19로 홍대의 많은 클럽과 공연장이 힘들어하고 있다""며 ""우리 같은 뮤지션이 첫발을 내디딜 수 있었던 장소이기 때문에 여러분들이 지켜주셨으면 좋겠다""고 말했다.\n\n\n\n\n\n\n온라인 페스티벌 \'#우리의무대를지켜주세요\' 포스터\n[코드 제공. 재판매 및 DB 금지]\n\n\n\n 음악 채널 엠넷은 공연 마지막 날인 14일까지 무상으로 캠페인 예고 영상을 방영하며 홍보에 나선다. \n 인디음악의 열정을 부활시키려는 캠페인 취지에 맞게 영상에는 텅 빈 공연장에 노랫소리와 관객들의 환호가 울려 퍼지는 모습을 담았다고 엠넷은 밝혔다.\n 국내 최대 음악 플랫폼인 멜론도 후원금을 전달하고 공연 홍보를 돕는 방식으로 캠페인에 동참한다.\n 멜론 애플리케이션 \'오늘의 DJ플레이리스트\' 탭에 공연 출연진의 세트리스트를 배치했으며 웹사이트와 소셜미디어에서 공연 관련 콘텐츠와 정보를 제공한다.\n rambo@yna.co.kr\n\n<저작권자(c) 연합뉴스,\n무단 전재-재배포 금지>\n2021/03/08 11:46 송고\n\n', 'image': 'https://firebasestorage.googleapis.com/v0/b/supportapp-f34a1.appspot.com/o/%EC%9C%A1%EC%A4%91%EC%99%84%EA%B8%B0%EC%82%AC.jpg?alt=media&token=8bfac837-1fe0-4a61-b959-93c57206ce7a', 'time': 1615203960000, 'title': '인디공연장 살리려 67팀 모였다…릴레이 온라인 공연(종합)'}] 2015년 SBS 연예대상 베스트 엔터테이너상"
18,윤성현,"윤성현 [{'lCategory': 'Music', 'mCategory': '록 음악', 'sCategory': '쏜애플', 'type': 1}] 쏜애플 [{'content': ""\n\n\n\n\n\n\n김효정 기자\n기자 페이지\n\n\n\n\n\n\n\n\n\n대만 '골든 인디 뮤직 어워즈'에 국내 밴드 노미네이트\n[해피로봇 레코드 제공]\n\n\n\n (서울=연합뉴스) 김효정 기자 = 대만 최대 인디음악 시상식인 '골든 인디 뮤직 어워즈'(Golden Indie Music Awards·GIMA)에 국내 밴드 쏜애플과 까데호가 후보로 올랐다.\n 30일 쏜애플 소속사 해피로봇 레코드에 따르면 GIMA가 올해 새로 개설한 '아시안 크리에이티브 아티스트'(Asian Creative Artist) 부문에 쏜애플이 지난해 발표한 정규 3집 '계몽'이 노미네이트됐다.\n 까데호가 지난해 7월 발표한 첫 정규 앨범 '프리서머'(FREESUMMER)도 같은 부문 후보에 올랐다. \n\n광고\n\n\n \n 올해로 11회를 맞은 GIMA는 중화권에서 상당한 공신력을 가진 음악 시상식이다. '아시안 크리에이티브 아티스트'는 아시아에서 활동하는 뮤지션을 대상으로 하는 상이다.\n\n\n\n\n\n 시상식은 한국시간 31일 오후 8시 타이베이 뮤직 센터에서 열리며, GIMA 공식 페이스북 페이지와 유튜브 채널에서 온라인 생중계된다. \n kimhyoj@yna.co.kr\n\n<저작권자(c) 연합뉴스,\n무단 전재-재배포 금지>\n2020/10/30 16:47 송고\n\n"", 'image': 'https://firebasestorage.googleapis.com/v0/b/supportapp-f34a1.appspot.com/o/%EC%8F%9C%EC%95%A0%ED%94%8C%EB%89%B4%EC%8A%A4.jpg?alt=media&token=acc2f437-876d-4852-93cd-aa64b6fd3328', 'time': 1604076420000, 'title': ""밴드 쏜애플·까데호, 대만 '골든인디뮤직어워즈' 후보""}] "
19,이상연,"이상연 [{'lCategory': 'Sport', 'mCategory': '역도', 'sCategory': '강원도체육회', 'type': 1}] 강원도체육회 [{'content': '\n\n\n\n\n\n\n하남직 기자\n기자 페이지\n\n\n\n\n\n\n\n\n\n한국 남자 역도 67㎏급 이상연\n[연합뉴스 자료사진]\n\n\n\n (서울=연합뉴스) 하남직 기자 = 이상연(25·강원도체육회)이 1년 만에 자신이 보유한 역도 남자 67㎏급 용상 한국기록을 바꿔놨다. \n 이상연은 21일 경상남도 고성 역도전용경기장에서 열린 2020 전국역도선수권대회 남자 67㎏급 일반부 경기에서 인상 133㎏, 용상 181㎏, 합계 314㎏을 들어 3개 부문 모두 1위에 올랐다. \n 특히 용상에서는 1, 2, 3차 시기를 모두 성공하며 한국 기록까지 작성했다. \n\n광고\n\n\n \n 2019년 10월 8일 전국체전에서 용상 180㎏을 들어 이 부문 한국기록을 세웠던 이상연은 이날 181㎏에 성공하며 한국 신기록을 만들었다. \n\n\n\n\n\n 남자 73㎏급에서는 정한솔(28·아산시청)이 신비(20·완도군청)와의 경쟁에서 승리했다. \n 정한솔은 인상에서는 140㎏으로 142㎏을 든 신비에게 밀렸지만, 용상에서 185㎏에 성공하며 합계 325㎏으로 정상에 올랐다. 신비는 용상 179㎏을 들어 합계 321㎏으로 2위를 차지했다. \n 우승은 놓쳤지만, 신비는 용상과 합계에서 자신이 보유한 한국 주니어기록을 경신했다. 신비는 용상 종전 주니어 기록 178㎏을 1㎏, 합계 주니어 기록 318㎏을 3㎏ 넘어섰다. \n jiks79@yna.co.kr\n\n<저작권자(c) 연합뉴스,\n무단 전재-재배포 금지>\n2020/09/21 15:38 송고\n\n', 'image': 'https://firebasestorage.googleapis.com/v0/b/supportapp-f34a1.appspot.com/o/%EC%9D%B4%EC%83%81%EC%97%B0%EB%89%B4%EC%8A%A4.jpg?alt=media&token=1b08818c-4a7a-422a-8a47-5b6823762eef', 'time': 1600702680000, 'title': '이상연, 한국 역도 남자 67㎏급 용상 한국 신기록'}] 2016년 세계대학역도선수권대회 합계 2위"
20,전석훈,"전석훈 [{'lCategory': 'Sport', 'mCategory': '축구', 'sCategory': '김해시청축구단', 'type': 1}] 김해시청축구단  169/66"
21,정한솔,"정한솔 [{'lCategory': 'Sport', 'mCategory': '역도', 'sCategory': '아산시청', 'type': 1}] 아산시청  95회 전국체육대회 합계 1위"
22,지엔,"지엔 [{'lCategory': 'Music', 'mCategory': 'K-pop', 'sCategory': '라붐', 'type': 1}] 라붐  "
23,최성모,"최성모 [{'lCategory': 'Sport', 'mCategory': '야구', 'sCategory': '상무농구단', 'type': 1}] 상무농구단  "
24,한희원,"한희원 [{'lCategory': 'Sport', 'mCategory': '야구', 'sCategory': '상무농구단', 'type': 1}] 상무농구단  "
25,해인,"해인 [{'lCategory': 'Music', 'mCategory': 'K-pop', 'sCategory': '라붐', 'type': 1}] 라붐  "
